parameter,value,seed,average_reward,success_rate,collision_rate,avg_steps
n_planes,3.0,5,257.6561645996095,0.98,0.0,19.46
n_planes,3.0,10,220.07835216064473,0.8666666666666666,0.1,23.96
n_planes,3.0,100,243.13188310852075,0.94,0.06,22.42
n_planes,5.0,5,436.2170624771123,0.98,0.02,17.2
n_planes,5.0,10,422.5981172103885,0.94,0.06,13.74
n_planes,5.0,100,394.73119485473705,0.8959999999999999,0.08,24.16
n_planes,10.0,5,373.79089171600407,0.39799999999999996,0.6,11.4
n_planes,10.0,10,506.75122129058917,0.512,0.48,14.22
n_planes,10.0,100,486.05592040252816,0.5419999999999999,0.44,19.06
size,50.0,5,61.49362046813977,0.18,0.82,5.66
size,50.0,10,41.25952464294436,0.06,0.94,3.42
size,50.0,100,12.280380279541044,0.06,0.94,3.14
size,100.0,5,436.2170624771123,0.98,0.02,17.2
size,100.0,10,422.5981172103885,0.94,0.06,13.74
size,100.0,100,394.73119485473705,0.8959999999999999,0.08,24.16
size,200.0,5,256.5328656044018,0.7279999999999999,0.02,49.76
size,200.0,10,238.63180702209584,0.792,0.04,49.3
size,200.0,100,229.69395631790255,0.672,0.04,48.66
speed,3.0,5,285.4810282516489,0.6879999999999998,0.22,33.84
speed,3.0,10,366.3669421005257,0.9039999999999999,0.06,31.88
speed,3.0,100,373.67550981903173,0.9199999999999998,0.02,33.02
speed,5.0,5,436.2170624771123,0.98,0.02,17.2
speed,5.0,10,422.5981172103885,0.94,0.06,13.74
speed,5.0,100,394.73119485473705,0.8959999999999999,0.08,24.16
speed,10.0,5,250.11784285736107,0.47600000000000003,0.52,8.84
speed,10.0,10,333.63709013366713,0.64,0.36,7.74
speed,10.0,100,260.7797318649294,0.5,0.5,6.7
