parameter,value,seed,average_reward,success_rate,collision_rate,avg_steps
learning_rate,0.0001,5,58.831890228271796,0.17600000000000002,0.8,16.64
learning_rate,0.0001,10,287.7499596099857,0.66,0.34,13.32
learning_rate,0.0001,100,145.38409957122883,0.4040000000000001,0.46,35.62
learning_rate,0.001,5,361.6406664047244,0.78,0.22,12.5
learning_rate,0.001,10,374.61307287597714,0.8280000000000001,0.16,18.0
learning_rate,0.001,100,395.0376270523075,0.88,0.12,13.44
learning_rate,0.01,5,436.2170624771123,0.98,0.02,17.2
learning_rate,0.01,10,422.5981172103885,0.94,0.06,13.74
learning_rate,0.01,100,394.73119485473705,0.8959999999999999,0.08,24.16
learning_rate,0.1,5,251.5183633117684,0.58,0.34,29.04
learning_rate,0.1,10,134.58176638794015,0.30800000000000005,0.54,30.72
learning_rate,0.1,100,174.20213233184893,0.468,0.42,31.32
epsilon_decay,0.9,5,402.03943056488066,0.9,0.1,13.86
epsilon_decay,0.9,10,429.1546942672736,0.9519999999999998,0.04,17.62
epsilon_decay,0.9,100,385.3429783325201,0.888,0.1,18.24
epsilon_decay,0.95,5,436.2170624771123,0.98,0.02,17.2
epsilon_decay,0.95,10,422.5981172103885,0.94,0.06,13.74
epsilon_decay,0.95,100,394.73119485473705,0.8959999999999999,0.08,24.16
epsilon_decay,0.99,5,409.96942246246414,0.932,0.06,23.78
epsilon_decay,0.99,10,401.5995721664433,0.912,0.08,18.62
epsilon_decay,0.99,100,371.42158461761545,0.8480000000000001,0.14,20.92
discount_factor,0.5,5,289.74718852996887,0.628,0.36,19.94
discount_factor,0.5,10,369.0837879180917,0.84,0.16,26.52
discount_factor,0.5,100,299.92288424682715,0.64,0.34,28.38
discount_factor,0.7,5,393.13305760192947,0.888,0.1,22.76
discount_factor,0.7,10,404.9955107116705,0.9159999999999999,0.08,18.84
discount_factor,0.7,100,396.86984787750293,0.88,0.12,15.7
discount_factor,0.99,5,436.2170624771123,0.98,0.02,17.2
discount_factor,0.99,10,422.5981172103885,0.94,0.06,13.74
discount_factor,0.99,100,394.73119485473705,0.8959999999999999,0.08,24.16
batch_size,32.0,5,349.49145077514686,0.78,0.22,13.94
batch_size,32.0,10,392.49061463165344,0.884,0.1,20.54
batch_size,32.0,100,445.6623021774298,0.996,0.0,20.0
batch_size,64.0,5,436.2170624771123,0.98,0.02,17.2
batch_size,64.0,10,422.5981172103885,0.94,0.06,13.74
batch_size,64.0,100,394.73119485473705,0.8959999999999999,0.08,24.16
batch_size,128.0,5,390.4067546005255,0.8839999999999999,0.1,21.92
batch_size,128.0,10,167.9287610015877,0.44799999999999995,0.2,44.36
batch_size,128.0,100,430.3045039825444,0.96,0.04,16.36
